player_name,team,role,matches,innings,runs,batting_average,strike_rate,wickets,economy_rate,bowling_average,batting_consistency,batting_impact,bowling_impact,all_rounder_rating,estimated_fantasy_points,cost
MM Patel,Gujarat Lions,Unknown,63.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.331061756127628
JD Unadkat,Rising Pune Supergiant,Unknown,105.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.760264987761207
AF Milne,Royal Challengers Bangalore,Unknown,10.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.366521703361073
AD Mathews,Delhi Daredevils,Unknown,49.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.004741126568799
Mohammed Shami,Delhi Daredevils,Unknown,112.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.508737728602902
NM Coulter-Nile,Kolkata Knight Riders,Unknown,39.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.871875674774437
Mohammad Nabi,Sunrisers Hyderabad,Unknown,24.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.641810829731464
BB Sran,Sunrisers Hyderabad,Unknown,24.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.808616153321598
S Kaul,Sunrisers Hyderabad,Unknown,55.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.346243906229402
J Yadav,Delhi Daredevils,Unknown,20.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.092098987433243
KS Williamson,Sunrisers Hyderabad,Unknown,79.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.820593908197333
Mohammed Siraj,Sunrisers Hyderabad,Unknown,94.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.970861376280734
SE Marsh,Kings XI Punjab,Unknown,71.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.165807844180677
Gurkeerat Singh,Kings XI Punjab,Unknown,41.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.273074909011637
JP Faulkner,Gujarat Lions,Unknown,60.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.205583394697323
Shakib Al Hasan,Kolkata Knight Riders,Unknown,71.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.485867513802503
K Rabada,Delhi Daredevils,Unknown,81.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.469647943200735
MG Johnson,Mumbai Indians,Unknown,54.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.048761780399253
Washington Sundar,Rising Pune Supergiant,Unknown,60.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.859898650051106
AD Nath,Gujarat Lions,Unknown,14.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.387176429357101
SS Agarwal,Gujarat Lions,Unknown,1.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.63339610551118
NB Singh,Gujarat Lions,Unknown,2.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.812692033516054
KV Sharma,Mumbai Indians,Unknown,84.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.349865737947463
DM Bravo,Kolkata Knight Riders,Unknown,1.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.11609875321606
Ankit Soni,Gujarat Lions,Unknown,7.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.448670785571498
AR Bawne,Delhi Daredevils,Unknown,1.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.540841113731073
SP Jackson,Kolkata Knight Riders,Unknown,9.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.332461496653316
MJ Guptill,Kings XI Punjab,Unknown,13.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.340499994892099
Anureet Singh,Kings XI Punjab,Unknown,23.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.95671648646661
